id,school_class_id,year,teacher_id
1,1,1992,1
2,2,1994,3
3,3,2012,1
4,4,1992,2
5,5,2003,3
6,6,2003,2
7,7,2012,1
8,8,2012,1
9,9,2007,1
10,10,2009,2
11,11,2009,2
12,12,2011,3
13,13,1985,2
14,14,1996,3
15,15,1992,3
16,16,1991,1
17,17,1967,1
18,18,2010,2
19,19,2003,1
20,20,1993,1
21,21,1993,1
22,22,2007,1
23,23,1992,3
24,24,2000,1
25,25,1996,3
26,26,1997,2
27,27,2010,1
28,28,1990,2
29,29,1988,1
30,30,1996,2
31,31,1998,3
32,32,1995,3
33,33,2007,2
34,34,2006,2
35,35,2004,2
36,36,1998,3
37,37,2012,2
38,38,1984,1
39,39,2012,1
40,40,1997,2
